#,Titel,URL,Zuletzt besucht am-Datum,Zuletzt besucht am-Zeit,Besuche,Nutzungsmuster,Konto,Artefakt-Familie,Quellspeicherpfad,Quelle,Gelöschte,Tag-Hinweis,Quelldatei-Informationen,Rekonstruiert,Manuell decodiert
44,,https://service.eventim.de/go/1/573RM57G-573KBZ84-571BFFDU-T6O14GE.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
45,,https://service.eventim.de/go/1/573RM57G-573KBZ84-571BFFDT-OTKVR7.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
46,,https://service.eventim.de/go/1/573RM57G-573KBZ84-3NPS57LH-1VS1CAB.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
47,,https://service.eventim.de/go/1/573RM57G-573KBZ84-571BFFDS-1K212CF.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
48,,https://service.eventim.de/go/1/573RM57G-573KBZ84-571BFFDR-L504HR.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
49,,https://service.eventim.de/go/1/573RM57G-573KBZ84-571BFFDQ-MU41CGZ.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
50,,https://service.eventim.de/go/1/573RM57G-573KBZ84-571BFFDP-Y9O1BG9.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
51,,https://service.eventim.de/go/1/573RM57G-573KBZ84-571BFFDO-UUTKDD.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
52,,https://service.eventim.de/go/1/573RM57G-573KBZ84-571BFFDN-19HB1C90.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
53,,https://service.eventim.de/go/1/573RM57G-573KBZ84-571BFFDM-LZJAP4.html?affiliate=evn&referer_info=HN-TGS-ed_104016&utm_source=hn.tg3ed&utm_medium=email&utm_campaign=..407273846548.20221214&utm_content=tgs.&uid=3a124ff4f2ef3f17a4977364789c9c55,14.12.2022,14.12.2022 18:32:49(UTC+1),,,,,,Gmail,,,,,
